Creek,Recovery Date,Location_along_Creek,PotID,Portion_of_Sample,Dead_or_Unknown,Box_Count,Dead_Box,Mussel_Count,Live_Oyster_Count,Standardized_Live_Oyster_Counts,Live_out_of_Total,Percent_Live,Avg_Oys_Length,Averagelengthgreater50mm,CountGreater50mm,Portion_of_Sample,standardizedctover50
GC,10/23/2013,Lower,6,0.25,15,12,27,9,69,276,0.71875,71.875,32.52173913,63.33333333,36,0.25,144
GC,10/25/2013,Lower,7,0.5,28,7,35,16,67,134,0.656862745,65.6862745,38.98507463,82.125,24,0.5,48
GC,10/23/2013,Lower,8,0.5,11,0,11,2,53,106,0.828125,82.8125,36.22641509,72.875,16,0.5,32
GC,10/23/2013,Lower,9,0.5,184,0,184,20,87,174,0.32103321,32.103321,36.29885057,65.64285714,28,0.5,56
GC,10/23/2013,Lower,10,0.25,27,6,33,7,46,184,0.582278481,58.2278481,36.91304348,70.28571429,28,0.25,112
GC,10/23/2013,Low-Mid,12,0.25,43,0,43,4,59,236,0.578431373,57.8431373,46.76271186,76.04545455,88,0.25,352
GC,10/23/2013,Low-Mid,13,0.25,101,27,128,13,108,432,0.457627119,45.7627119,45.5,76.45714286,140,0.25,560
GC,10/23/2013,Low-Mid,14,0.5,112,0,112,13,102,204,0.476635514,47.6635514,41.73529412,73.45454545,44,0.5,88
GC,10/23/2013,Low-Mid,15,0.25,39,14,53,4,45,180,0.459183673,45.9183673,50.15555556,80.65625,64,0.25,256
GC,1?,Low-Mid,17,0.5,42,0,42,2,126,252,0.75,75,45.82539683,82.34285714,70,0.5,140
GC,10/23/2013,Low-Upper,18,0.25,58,35,93,5,66,264,0.41509434,41.509434,47.63636364,64,2,0.25,8
GC,10/23/2013,Low-Upper,20,0.25,98,34,132,2,61,244,0.316062176,31.6062176,39.95081967,63.66666667,3,0.25,12
GC,?,Low-Upper,26,0.5,129,0,129,9,144,288,0.527472527,52.7472527,39.92361111,64.16666667,3,0.5,6
GC,10/23/2013,Low-Upper,28,0.25,68,40,108,4,113,452,0.511312217,51.1312217,39.67699115,51,1,0.25,4
GC,10/23/2013,Low-Upper,29,0.5,58,0,58,2,59,118,0.504273504,50.4273504,37.3220339,66.36363636,22,0.5,44
GC,10/23/2013,Mid,31,1,2,0,2,0,20,20,0.909090909,90.9090909,40.175,77.97619048,84,1,84
GC,10/23/2013,Mid,32,1,5,0,5,0,27,27,0.84375,84.375,37.75925926,73.76923077,52,1,52
GC,10/23/2013,Mid,33,1,4,0,4,0,10,10,0.714285714,71.4285714,48.45,80.42307692,52,1,52
GC,10/23/2013,Mid,34,1,5,0,5,1,15,15,0.75,75,36.33333333,68.875,56,1,56
GC,10/23/2013,Mid,35,0.5,3,2,5,1,44,88,0.897959184,89.7959184,42.88636364,68.875,16,0.5,32
GC,10/23/2013,Upper,36,1,0,0,0,0,12,12,1,100,50.54166667,59.5625,8,1,8
GC,10/23/2013,Upper,37,1,2,0,2,0,13,13,0.866666667,86.6666667,46.5,69.3,5,1,5
GC,10/23/2013,Upper,38,1,1,0,1,0,19,19,0.95,95,53.76315789,67.55,10,1,10
GC,10/23/2013,Upper,39,1,0,0,0,0,15,15,1,100,51.83333333,67.33333333,6,1,6
GC,10/23/2013,Upper,40,1,1,0,1,0,24,24,0.96,96,45.20833333,65.4375,8,1,8
OC,,Low-Upper,2,1,4,4,8,12,39,39,0.829787234,82.9787234,54.67948718,67.25,8,1,8
OC,10/24/2013,Low-Mid,3,1,2,2,4,3,27,27,0.870967742,87.0967742,52.74074074,67,8,1,8
OC,10/24/2013,Low-Mid,4,1,2,1,3,1,14,14,0.823529412,82.3529412,66.14285714,55.5,2,1,2
OC,,Low-Upper,6,1,1,0,1,0,19,19,0.95,95,39.55263158,72.5,2,1,2
OC,,Lower,8,1,5,3,8,0,16,16,0.666666667,66.6666667,46.75,64.16666667,9,1,9
OC,10/24/2013,Lower,10,1,5,3,8,1,39,39,0.829787234,82.9787234,34.97435897,74.61538462,13,1,13
OC,10/24/2013,Low-Mid,14,1,2,2,4,1,28,28,0.875,87.5,60.85714286,74,11,1,11
OC,,Low-Upper,16,1,4,3,7,0,34,34,0.829268293,82.9268293,51.30882353,73.80555556,18,1,18
OC,10/24/2013,Lower,19,1,4,1,5,0,5,5,0.5,50,35.2,67.72727273,11,1,11
OC,,Low-Upper,23,1,5,2,7,0,31,31,0.815789474,81.5789474,33.51612903,73,5,1,5
OC,10/24/2013,Low-Mid,24,1,6,4,10,0,29,29,0.743589744,74.3589744,45.39655172,82,1,1,1
OC,10/24/2013,Low-Mid,26,1,5,1,6,0,11,11,0.647058824,64.7058824,50.72727273,,0,1,0
OC,,Low-Upper,27,1,0,0,0,0,35,35,1,100,34.98571429,85.5,2,1,2
OC,10/24/2013,Lower,28,1,3,1,4,0,13,13,0.764705882,76.4705882,35.03846154,71.8,5,1,5
OC,10/24/2013,Lower,30,1,10,7,17,2,37,37,0.685185185,68.5185185,39.43243243,73,1,1,1
OC,10/24/2013,Mid,31,1,0,0,0,0,2,2,1,100,62.5,72.27272727,22,1,22
OC,10/24/2013,Mid,32,1,0,0,0,0,0,0,,0,,71.75,4,1,4
OC,10/24/2013,Mid,33,1,0,0,0,0,3,3,1,100,65,71.14705882,17,1,17
OC,10/24/2013,Mid,34,1,0,0,0,0,8,8,1,100,56.875,64,2,1,2
OC,10/24/2013,Mid,35,1,0,1,1,0,2,2,0.666666667,66.6666667,49.5,72.66666667,3,1,3
OC,10/24/2013,Upper,36,1,3,2,5,4,23,23,0.821428571,82.1428571,71.15217391,75.875,20,1,20
OC,,Upper,37,1,0,0,0,0,12,12,1,100,60.08333333,65.7,10,1,10
OC,10/24/2013,Upper,38,1,0,0,0,0,6,6,1,100,64,75.5,4,1,4
OC,10/24/2013,Upper,39,1,1,0,1,0,11,11,0.916666667,91.6666667,57.59090909,70.21428571,7,1,7
OC,10/24/2013,Upper,40,1,1,0,1,5,22,22,0.956521739,95.6521739,54.45454545,68,14,1,14
PC,10/23/2013,Low-Mid,1,1,17,1,18,6,35,35,0.660377358,66.0377358,44.18571429,75.16666667,6,1,6
PC,10/23/2013,Low-Mid,2,0.5,25,11,36,6,40,80,0.526315789,52.6315789,47.65,65.05882353,17,0.5,34
PC,10/23/2013,Low-Mid,4,1,15,2,17,0,17,17,0.5,50,46.14705882,58.75,2,1,2
PC,10/23/2013,Low-Mid,6,0.5,0,0,0,0,44,88,1,100,55.43181818,59.5625,8,0.5,16
PC,10/23/2013,Mid,7,0.5,34,18,52,1,37,74,0.415730337,41.5730337,40.01351351,64.25,8,0.5,16
PC,10/22/2013,Low-Upper,7,0.5,272,137,409,21,89,178,0.178714859,17.8714859,41.24719101,61.28571429,14,0.5,28
PC,,Low-Upper,8,0.5,68,0,68,5,110,220,0.617977528,61.7977528,48.88181818,66.44444444,36,0.5,72
PC,10/22/2013,Low-Upper,10,0.25,45,23,68,1,21,84,0.235955056,23.5955056,41.76190476,62,7,0.25,28
PC,10/22/2013,Low-Upper,16,1,20,0,20,2,34,34,0.62962963,62.962963,50.79411765,65.41935484,62,1,62
PC,10/23/2013,Lower,26,1,9,1,10,1,15,15,0.6,60,52.66666667,67.33333333,18,1,18
PC,10/23/2013,Lower,27,1,120,0,120,4,31,31,0.205298013,20.5298013,50.32258065,73.44444444,9,1,9
PC,10/23/2013,Lower,27,1,6,2,8,0,10,10,0.555555556,55.5555556,37.8,67.30769231,13,1,13
PC,10/23/2013,Lower,28,1,6,7,13,0,33,33,0.717391304,71.7391304,36.06060606,66.55,10,1,10
PC,10/23/2013,Lower,30,1,13,0,13,2,16,16,0.551724138,55.1724138,47.1875,69.42857143,7,1,7
PC,10/23/2013,Mid,31,1,7,1,8,0,23,23,0.741935484,74.1935484,45.17391304,65.64705882,17,1,17
PC,10/23/2013,Mid,32,1,5,1,6,1,16,16,0.727272727,72.7272727,61.9375,61.82142857,56,1,56
PC,10/23/2013,Mid,33,1,8,1,9,2,18,18,0.666666667,66.6666667,50.77777778,76.04651163,86,1,86
PC,10/23/2013,Mid,34,1,3,0,3,0,10,10,0.769230769,76.9230769,59.7,59.57142857,28,1,28
PC,10/23/2013,Mid,35,1,6,1,7,0,25,25,0.78125,78.125,52.18,63.76190476,21,1,21
PC,10/22/2013,Upper,36,1,0,0,0,0,6,6,1,100,61.66666667,84,3,1,3
PC,10/22/2013,Upper,37,1,0,0,0,0,3,3,1,100,40.66666667,,0,1,0
PC,10/22/2013,Upper,38,1,3,0,3,2,7,7,0.7,70,76.14285714,82.66666667,6,1,6
PC,10/22/2013,Upper,39,1,1,0,1,2,9,9,0.9,90,66.33333333,86.83333333,6,1,6
PC,10/22/2013,Upper,40,1,1,0,1,0,10,10,0.909090909,90.9090909,71.55,75.38888889,9,1,9
SC,10/22/2013,Lower,13,1,0,0,0,0,10,10,1,100,33.2,50.5,2,1,2
SC,10/22/2013,Lower,15,1,2,0,2,3,12,12,0.857142857,85.7142857,39.33333333,52,1,1,1
SC,10/22/2013,Lower,17,1,0,0,0,3,35,35,1,100,35.91428571,61.5,2,1,2
SC,10/22/2013,Lower,23,1,3,0,3,0,5,5,0.625,62.5,36.2,,0,1,0
SC,10/22/2013,Lower,27,1,7,0,7,33,26,26,0.787878788,78.7878788,38.23076923,61.5,2,1,2
SC,10/22/2013,Mid,31,1,0,3,3,0,9,9,0.75,75,29.72222222,,0,1,0
SC,10/22/2013,Mid,32,1,4,0,4,0,10,10,0.714285714,71.4285714,42.1,61.33333333,3,1,3
SC,10/22/2013,Mid,33,1,15,0,15,6,20,20,0.571428571,57.1428571,36.5,64.33333333,3,1,3
SC,10/22/2013,Mid,34,1,18,0,18,8,33,33,0.647058824,64.7058824,33.59090909,66.5,2,1,2
SC,10/22/2013,Mid,35,1,7,0,7,1,18,18,0.72,72,37.66666667,81,1,1,1
SC,10/22/2013,Upper,36,1,7,0,7,3,34,34,0.829268293,82.9268293,45.35294118,74,9,1,9
SC,10/22/2013,Upper,37,1,5,0,5,0,14,14,0.736842105,73.6842105,54.5,62.6,10,1,10
SC,10/22/2013,Upper,38,1,2,1,3,1,14,14,0.823529412,82.3529412,47.14285714,69.7,5,1,5
SC,10/22/2013,Upper,39,1,10,0,10,1,22,22,0.6875,68.75,43.06818182,71.55555556,9,1,9
SC,10/23/2013,Upper,40,1,5,0,5,1,16,16,0.761904762,76.1904762,34.28125,56,2,1,2
ToC,10/25/2013,Lower,1,0.25,74,27,101,24,117,468,0.536697248,53.6697248,20.87606838,75,4,0.25,16
ToC,10/25/2013,Lower,1,0.25,93,31,124,27,102,408,0.451327434,45.1327434,20.62254902,,0,0.25,0
ToC,10/25/2013,Lower,1,0.25,246,79,325,235,158,632,0.327122153,32.7122153,19.43037975,52,4,0.25,16
ToC,10/24/2013,Lower,3,0.5,108,36,144,14,134,268,0.482014388,48.2014388,23.39552239,54.5,2,0.5,4
ToC,10/24/2013,Lower,4,0.25,146,76,222,20,155,620,0.411140584,41.1140584,23.83225806,65.4,20,0.25,80
ToC,10/24/2013,Lower,4,0.25,157,68,225,63,260,1040,0.536082474,53.6082474,21.10384615,63.75,16,0.25,64
ToC,10/28/2013,Low-Upper,8,0.25,245,0,245,75,150,600,0.379746835,37.9746835,26.67333333,56,8,0.25,32
ToC,10/28/2013,Low-Mid,12,0.25,212,104,316,247,235,940,0.426497278,42.6497278,22.61914894,58.64705882,68,0.25,272
ToC,10/24/2013,Low-Mid,15,0.25,208,92,300,601,180,720,0.375,37.5,61.69444444,66.55555556,36,0.25,144
ToC,10/28/2013,Low-Upper,18,0.5,170,0,170,56,363,726,0.681050657,68.1050657,21.73829201,63.76470588,68,0.5,136
ToC,10/25/2013,Low-Mid,19,0.25,287,0,287,221,179,716,0.384120172,38.4120172,23.4972067,62.79166667,48,0.25,192
ToC,10/28/2013,Low-Upper,26,0.5,284,0,284,70,197,394,0.40956341,40.956341,25.56852792,65,56,0.5,112
ToC,10/28/2013,Low-Upper,28,0.25,430,0,430,10/23/2013,291,1164,0.403606103,40.3606103,22.61119257,61.53333333,15,0.25,60
ToC,10/25/2013,Mid,31,0.5,40,0,40,303,88,176,0.6875,68.75,41.22727273,64.17857143,56,0.5,112
ToC,10/25/2013,Mid,32,0.5,6,3,9,183,69,138,0.884615385,88.4615385,38.46376812,66.125,32,0.5,64
ToC,10/25/2013,Mid,33,0.5,8,2,10,246,83,166,0.892473118,89.2473118,40.28915663,60.5625,32,0.5,64
ToC,10/25/2013,Mid,34,1,8,5,13,160,34,34,0.723404255,72.3404255,41.82352941,56.375,16,1,16
ToC,10/25/2013,Mid,35,0.5,6,0,6,377,117,234,0.951219512,95.1219512,32.81196581,54.75,16,0.5,32
ToC,10/28/2013,Upper,37,1,0,1,1,2,14,14,0.933333333,93.3333333,46.57142857,52,4,1,4
ToC,10/28/2013,Upper,38,1,5,0,5,7,18,18,0.782608696,78.2608696,34.36111111,67.66666667,12,1,12
ToC,10/28/2013,Upper,39,1,0,0,0,10,6,6,1,100,49.33333333,56.6,5,1,5
ToC,10/28/2013,Upper,39,1,4,0,4,19,33,33,0.891891892,89.1891892,48.16666667,57.2,5,1,5
ToC,10/28/2013,Upper,40,1,4,0,4,7,17,17,0.80952381,80.952381,50.64705882,57,4,1,4
TuC,10/28/2013,Lower,1,1,2,0,2,4,93,93,0.978947368,97.8947368,42.83333333,60.36111111,18,1,18
TuC,10/28/2013,Lower,3,0.5,14,0,14,2,66,132,0.825,82.5,47.5,58.04166667,12,0.5,24
TuC,10/28/2013,Lower,4,1,5,0,5,0,83,83,0.943181818,94.3181818,29.53012048,65.98076923,26,1,26
TuC,10/28/2013,Upper,8,1,17,0,17,5,114,114,0.870229008,87.0229008,54.69298246,78.30434783,46,1,46
TuC,10/28/2013,Low-Mid,9,1,21,0,21,2,137,137,0.867088608,86.7088608,54.13868613,62.4,10,1,10
TuC,10/28/2013,Low-Mid,9,1,19,0,19,4,115,115,0.858208955,85.8208955,56.47826087,67.57142857,21,1,21
TuC,10/28/2013,Lower,12,1,9,0,9,18,79,79,0.897727273,89.7727273,39.49367089,67.30769231,26,1,26
TuC,10/28/2013,Low-Mid,14,1,32,0,32,0,51,51,0.614457831,61.4457831,53.74509804,76.3968254,63,1,63
TuC,10/28/2013,Low-Upper,17,1,14,0,14,3,89,89,0.86407767,86.407767,56.11235955,74.7704918,61,1,61
TuC,10/28/2013,Low-Upper,17,1,17,0,17,3,84,84,0.831683168,83.1683168,56.98809524,70,25,1,25
TuC,10/28/2013,Low-Upper,18,1,6,0,6,4,81,81,0.931034483,93.1034483,56.24691358,75.28846154,52,1,52
TuC,10/28/2013,Low-Mid,19,0.5,5,0,5,0,58,116,0.920634921,92.0634921,53.52586207,73.76,25,0.5,50
TuC,10/28/2013,Low-Upper,20,1,2,0,2,1,54,54,0.964285714,96.4285714,65.90740741,71.11111111,72,1,72
TuC,10/28/2013,Low-Upper,20,1,5,0,5,1,55,55,0.916666667,91.6666667,64.30909091,85.7826087,23,1,23
TuC,10/28/2013,Lower,22,0.5,0,0,0,0,126,252,1,100,30.01587302,75.16,25,0.5,50
TuC,10/28/2013,Low-Mid,24,0.5,18,0,18,0,57,114,0.76,76,53.19298246,91.27777778,18,0.5,36
TuC,10/28/2013,Low-Mid,28,0.5,6,0,6,0,72,144,0.923076923,92.3076923,53.02777778,92.5,22,0.5,44
TuC,10/28/2013,Low-Upper,29,0.5,9,0,9,0,44,88,0.830188679,83.0188679,48.54545455,77.29166667,48,0.5,96
TuC,10/28/2013,Low-Upper,29,0.5,14,0,14,0,83,166,0.855670103,85.5670103,52.68674699,75.73076923,52,0.5,104
TuC,10/28/2013,Mid,31,1,1,0,1,1,40,40,0.975609756,97.5609756,65.275,73.95652174,46,1,46
TuC,10/28/2013,Mid,32,1,0,0,0,0,55,55,1,100,55.32727273,74.37777778,45,1,45
TuC,10/28/2013,Mid,33,1,0,0,0,1,40,40,1,100,62.8,78.56410256,39,1,39
TuC,10/28/2013,Mid,34,1,1,0,1,0,32,32,0.96969697,96.969697,74.875,82.11111111,36,1,36
TuC,10/28/2013,Mid,35,1,13,0,13,3,123,123,0.904411765,90.4411765,51.79674797,80.27777778,36,1,36
TuC,10/28/2013,Upper,36,1,2,0,2,0,51,51,0.962264151,96.2264151,59.03921569,70.80555556,36,1,36
TuC,10/28/2013,Upper,37,1,2,0,2,0,61,61,0.968253968,96.8253968,54.90163934,75.80555556,36,1,36
TuC,10/28/2013,Upper,38,1,0,0,0,0,34,34,1,100,60.52941176,85.4,25,1,25
TuC,10/28/2013,Upper,39,1,6,0,6,0,55,55,0.901639344,90.1639344,64.96363636,74.28571429,28,1,28
TuC,10/28/2013,Upper,40,1,2,0,2,4,105,105,0.981308411,98.1308411,60.39047619,77.25,20,1,20
